a	aː
húsmóðir	h uː s m ou ð ɪ r
húsmóðirin	h uː s m ou ð ɪ r ɪ n
húsmóður	h uː s m ou ð ʏ r
húsmóðurinni	h uː s m ou ð ʏ r ɪ n ɪ
húsmæðra	h uː s m ai ð r a
húsmæður	h uː s m ai ð ʏ r
húsnæði	h uː s t n ai ð ɪ
húsnæðið	h uː s t n ai ð ɪ ð
húsnæðinu	h uː s t n ai ð ɪ n ʏ
húsnæðis	h uː s t n ai ð ɪ s
húsnæðisins	h uː s t n ai ð ɪ s ɪ n s
húsnæðismál	h uː s t n ai ð ɪ s m auː l
húsnæðismála	h uː s t n ai ð ɪ s m auː l a
húsnæðismálum	h uː s t n ai ð ɪ s m auː l ʏ m
húsnæðisvanda	h uː s t n ai ð ɪ s v a n t a
húsráðanda	h uː s r au ð a n t a
húsráðandi	h uː s r au ð a n t ɪ
húsráðendur	h uː s r au ð ɛ n t ʏ r
húsrúm	h uː s r u m
húss	h u s
hússins	h u s ɪ n s
hússjóðs	h uː s j ou ð s
húsum	h uː s ʏ m
húsunum	h uː s ɔ n ʏ m
húsvegg	h uː s v ɛ k
húsvegginn	h uː s v ɛ c ɪ n
húsveggnum	h uː s v ɛ k
húsverðinum	h uː s v ɛ r ð ɪ n ʏ m
húsvörðinn	h uː s v œ r ð ɪ n
húsvörður	h uː s v œ r ð ʏ r
húsþökin	h uː s θ œ c ɪ n
húsþökum	h uː s θ œ k ʏ m
húsþökunum	h uː s θ œ k ɔ n ʏ m
hvað	k v aː ð
hvaða	k v aː ð a
hvaðan	k v aː ð a n
hvaðanæva	k v aː ð a n aiː v a
hvaðeina	k v aː ð ei n a
hval	k v aː l
hvalaskoðun	k v aː l a s k ɔː ð ʏ n
hvalbak	kʰ v a l p a k
Hvaleyrarskóla	k v a l ei r a r s k ouː l a
Hvalfirði	k v a l f ɪ r ð ɪ
Hvalfirðinum	k v a l f ɪ r ð ɪ n ʏ m
Hvalfjarðargöng	k v a l f j a r ð a r k œy ŋ k
Hvalfjarðargöngin	k v a l f j a r ð a r k œy ɲ c ɪ n
Hvalfjörð	k v a l f j œ r ð
hvali	k v aː l ɪ
hvalina	k v aː l ɪ n a
hvalir	k v aː l ɪ r
Hvalsey	k v a l s ei
Hvalsneskirkju	k v a l s t n ɛ s c ɪ r̥ c ʏ
hvalur	k v aː l ʏ r
hvalurinn	k v aː l ʏ r ɪ n
hvalveiðar	k v a l v ei ð a r
hvalveiðum	k v a l v ei ð ʏ m
Hvammi	k v a m ɪ
Hvammstanga	k v a m s t au ŋ k a
Hvammstangakirkja	k v a m s t au ŋ k a c ɪ r̥ c a
Hvanneyri	k v a n ei r ɪ
hvar	k v aː r
hvarf	k v a r v
hvarfi	k v a r v ɪ
hvarfið	k v a r v ɪ ð
hvarfla	k v a r t l a
hvarflað	k v a r t l a ð
hvarflaði	k v a r t l a ð ɪ
hvarflandi	k v a r t l a n t ɪ
hvarflar	k v a r t l a r
hvarmana	k v a r m a n a
hvarvetna	k v a r v ɛ h t n a
hvass	k v a s
hvassa	k v a s a
Hvassahrauni	k v a s a r̥ œyː n ɪ
Hvassaleiti	k v a s a l eiː t ɪ
hvassar	k v a s a r
hvasst	k v a s t
hvassviðri	k v a s v ɪ ð r ɪ
hvata	k v aː t a
hvatamaður	k v aː t a m aː ð ʏ r
hvati	k v aː t ɪ
hvatinn	k v aː t ɪ n
hvatir	k v aː t ɪ r
hvatning	k v a h t n i ŋ k
hvatningar	k v a h t n i ŋ k a r
hvatningu	k v a h t n i ŋ k ʏ
hvatt	k v a h t
hvatti	k v a h t ɪ
hvattir	k v a h t ɪ r
hvattur	k v a h t ʏ r
hvái	k v auː ɪ
hváir	k v auː ɪ r
hve	k v ɛː
hveiti	k v eiː t ɪ
hveitikarla	k v eiː t ɪ k a r t l a
hvelfingu	k v ɛ l v i ŋ k ʏ
hvelfinguna	k v ɛ l v i ŋ k ʏ n a
hveli	k v ɛː l ɪ
hveljur	k v ɛ l j ʏ r
hvell	k v ɛ t l̥
hvelli	k v ɛ t l ɪ
hvellinn	k v ɛ t l ɪ n
hvellir	k v ɛ t l ɪ r
hvellri	k v ɛ t l̥ r ɪ
hvellt	k v ɛ l̥ t
hvellum	k v ɛ t l ʏ m
hvellur	k v ɛ t l ʏ r
hvellurinn	k v ɛ t l ʏ r ɪ n
hvenær	k v ɛː n ai r
hver	k v ɛː r
Hverafold	k v ɛː r a f ɔ l t
Hveragerði	k v ɛː r a c ɛ r ð ɪ
Hveragerðis	k v ɛː r a c ɛ r ð ɪ s
Hveragerðiskirkju	k v ɛː r a c ɛ r ð ɪ s c ɪ r̥ c ʏ
Hveravöllum	k v ɛː r a v œ t l ʏ m
hverf	k v ɛ r v
hverfa	k v ɛ r v a
hverfanda	k v ɛ r v a n t a
hverfandi	k v ɛ r v a n t ɪ
hverfi	k v ɛ r v ɪ
hverfið	k v ɛ r v ɪ ð
hverfin	k v ɛ r v ɪ n
hverfinu	k v ɛ r v ɪ n ʏ
Hverfisgötu	k v ɛ r v ɪ s k œː ð ʏ
Hverfisgötuna	k v ɛ r v ɪ s k œː ð ʏ n a
Hverfisgötunni	k v ɛ r v ɪ s k œː ð ʏ n ɪ
hverfisins	k v ɛ r v ɪ s ɪ n s
hverfli	kʰ v ɛ r t l ɪ
hverfult	k v ɛ r v ʏ l̥ t
hverfum	k v ɛ r v ʏ m
hverfunum	k v ɛ r v ɔ n ʏ m
hverfur	k v ɛ r v ʏ r
hvergi	k v ɛ r c ɪ
hverja	k v ɛ r j a
hverjar	k v ɛ r j a r
hverjir	k v ɛ r j ɪ r
hverju	k v ɛ r j ʏ
hverjum	k v ɛ r j ʏ m
hvern	k v ɛ t n̥
hvernig	k v ɛ t n ɪ ɣ
hverra	k v ɛ r a
hverrar	k v ɛ r a r
hverri	k v ɛ r ɪ
hvers	k v ɛ r̥ s
hversdagsins	k v ɛ r̥ s t a x s ɪ n s
hversdagsleg	k v ɛ r̥ s t a x s t l ɛ ɣ
hversdagslega	k v ɛ r̥ s t a x s t l ɛ ɣ a
hversdagslegt	k v ɛ r̥ s t a x s t l ɛ x t
hversdagslegum	k v ɛ r̥ s t a x s t l ɛ ɣ ʏ m
hversdagsleikann	k v ɛ r̥ s t a x s t l eiː k a n
hversdagslífinu	k v ɛ r̥ s t a x s t l iː v ɪ n ʏ
hverskonar	k v ɛ r̥ s k ɔ n a r
hverskyns	k v ɛ r̥ s c ɪ n s
hverslags	k v ɛ r̥ s t l a x s
hversu	k v ɛ r̥ s ʏ
hversvegna	k v ɛ r̥ s v ɛ k n a
hvert	k v ɛ r̥ t
hvessi	k v ɛ s ɪ
hvessir	k v ɛ s ɪ r
hvesst	k v ɛ s t
hvet	k v ɛː t
hvetja	k v ɛː t j a
hvetjandi	k v ɛː t j a n t ɪ
hvetji	k v ɛː t j ɪ
hvetjum	k v ɛː t j ʏ m
hvetur	k v ɛː t ʏ r
hvika	k v ɪː k a
hvikaði	k v ɪː k a ð ɪ
hvimleið	k v ɪ m l ei ð
hvimleiða	k v ɪ m l ei ð a
hvin	k v ɪː n
hvinur	k v ɪː n ʏ r
hvirfilinn	k v ɪ r v ɪ l ɪ n
hvirfingu	k v ɪ r v i ŋ k ʏ
hvirflinum	k v ɪ r t l ɪ n ʏ m
hviss	k v ɪ s
hvissast	k v ɪ s a s t
hví	k v iː
hvíl	k v iː l
hvíla	k v iː l a
hvílast	k v iː l a s t
hvíld	k v i l t
hvíldar	k v i l t a r
hvíldardeginum	kʰ v i l t a r t ɛː j ɪ n ʏ m
hvíldarpúls	kʰ v i l t a r̥ pʰ u l s
hvíldi	k v i l t ɪ
hvíldin	k v i l t ɪ n
hvíldina	k v i l t ɪ n a
hvíldinni	k v i l t ɪ n ɪ
hvíldist	k v i l t ɪ s t
hvíldu	k v i l t ʏ
hvíldust	k v i l t ʏ s t
hvíli	k v iː l ɪ
hvílir	k v iː l ɪ r
hvílík	k v iː l i k
hvílíkir	k v iː l i c ɪ r
hvílíkt	k v iː l i x t
hvílíkur	k v iː l i k ʏ r
hvílst	k v i l s t
hvílt	k v i l̥ t
hvílu	k v iː l ʏ
hvílunni	k v iː l ʏ n ɪ
hvínandi	k v iː n a n t ɪ
hvískra	k v i s k r a
hvískri	k v i s k r ɪ
hvískruðu	k v i s k r ʏ ð ʏ
hvískur	k v i s k ʏ r
hvísl	k v i s t l̥
hvísla	k v i s t l a
hvíslað	k v i s t l a ð
hvíslaði	k v i s t l a ð ɪ
hvíslandi	k v i s t l a n t ɪ
hvíslar	k v i s t l a r
hvíslast	k v i s t l a s t
hvíslið	k v i s t l i ð
hvíslingum	k v i s t l i ŋ k ʏ m
hvísluðu	k v i s t l ʏ ð ʏ
hvít	k v iː t
hvíta	k v iː t a
Hvítadal	k v iː t a t aː l
hvítan	k v iː t a n
hvítar	k v iː t a r
hvítari	k v iː t a r ɪ
hvítasunnu	k v iː t a s ʏ n ʏ
hvítasunnudag	k v iː t a s ʏ n ʏ t aː ɣ
hvítasunnudagur	k v iː t a s ʏ n ʏ t aː ɣ ʏ r
hvítasunnuhelgina	k v iː t a s ʏ n ʏ h ɛ l c ɪ n a
hvítasunnukirkjan	k v iː t a s ʏ n ʏ c ɪ r̥ c a n
hvítasunnumenn	k v iː t a s ʏ n ʏ m ɛ n
Hvítá	k v iː t au
hvítblæði	k v iː t p l ai ð ɪ
hvítfrumur	kʰ v iː t f r ʏː m ʏ r
hvítfyssandi	k v iː t f ɪ s a n t ɪ
hvítglóandi	k v iː t k l ou a n t ɪ
hvíthærð	k v iː t h ai r ð
hvíthærði	k v iː t h ai r ð ɪ
hvíthærður	k v iː t h ai r ð ʏ r
hvíti	k v iː t ɪ
hvítir	k v iː t ɪ r
hvítklædd	k v iː t k l ai t
hvítlauk	k v iː t l œy k
hvítmálað	k v iː t m au l a ð
hvítmáluðu	k v iː t m au l ʏ ð ʏ
hvítna	k v i h t n a
hvítnaði	k v i h t n a ð ɪ
hvítra	k v iː t r a
hvítri	k v iː t r ɪ
hvíts	k v i t s
hvítsmárann	k v iː t s m au r a n
hvítt	k v i h t
hvítu	k v iː t ʏ
hvítum	k v iː t ʏ m
hvítur	k v iː t ʏ r
hvítvín	k v iː t v i n
hvítvíni	k v iː t v i n ɪ
hvítvoðungur	k v iː t v ɔ ð u ŋ k ʏ r
hvívetna	k v iː v ɛ h t n a
hvolf	k v ɔ l v
hvolfa	k v ɔ l v a
hvolfdi	k v ɔ l t ɪ
hvolfdist	k v ɔ l t ɪ s t
hvolfi	k v ɔ l v ɪ
hvolft	k v ɔ l̥ t
Hvoli	k v ɔː l ɪ
hvolp	k v ɔ l̥ p
hvolpana	k v ɔ l̥ p a n a
hvolparnir	kʰ v ɔ l̥ p a r t n ɪ r
hvolpinn	k v ɔ l̥ p ɪ n
hvolpinum	k v ɔ l̥ p ɪ n ʏ m
hvolpurinn	k v ɔ l̥ p ʏ r ɪ n
Hvolsvelli	k v ɔ l s v ɛ t l ɪ
Hvolsvöllur	k v ɔ l s v œ t l ʏ r
hvor	k v ɔː r
hvora	k v ɔː r a
hvorir	k v ɔː r ɪ r
hvorki	k v ɔ r̥ c ɪ
hvorn	k v ɔ t n̥
hvorrar	k v ɔ r a r
hvorri	k v ɔ r ɪ
hvors	k v ɔ r̥ s
hvort	k v ɔ r̥ t
hvorttveggja	k v ɔ r̥ t v ɛ c a
hvoru	k v ɔː r ʏ
hvorug	k v ɔː r ʏ ɣ
hvorugri	k v ɔː r ʏ ɣ r ɪ
hvorugt	k v ɔː r ʏ x t
hvorugu	k v ɔː r ʏ ɣ ʏ
hvorugum	k v ɔː r ʏ ɣ ʏ m
hvorugur	k v ɔː r ʏ ɣ ʏ r
hvorum	k v ɔː r ʏ m
hvorutveggja	k v ɔ r ʏ t v ɛ c a
hvumsa	k v ʏ m s a
hvur	k v ʏː r
hvæs	k v aiː s
hvæsa	k v aiː s a
hvæsandi	k v aiː s a n t ɪ
hvæsi	k v aiː s ɪ
hvæsir	k v aiː s ɪ r
hvæsti	k v ai s t ʏ
hvörfluðu	k v œ r t l ʏ ð ʏ
hvöss	k v œ s
hvössu	k v œ s ʏ
hvöt	k v œː t
hvött	k v œ h t
hvöttu	k v œ h t ʏ
hvötum	k v œː t ʏ m
hygðist	h ɪ ɣ ð ɪ s t
hygðust	h ɪ ɣ ð ʏ s t
hygg	h ɪ k
hyggilegast	h ɪ c ɪ l ɛː ɣ a s t
hyggist	h ɪ c ɪ s t
hyggja	h ɪ c a
hyggjast	h ɪ c a s t
hyggju	h ɪ c ʏ
hyggjumst	h ɪ c ʏ m s t
hyggst	h ɪ k s t
hygla	h ɪ k l a
hyl	h ɪː l
hyldýpi	h ɪ l t i p ɪ
hyldýpið	h ɪ l t i p ɪ ð
hylinn	h ɪː l ɪ n
hylja	h ɪ l j a
hyljum	h ɪ l j ʏ m
hylki	h ɪ l̥ c ɪ
hylkinu	h ɪ l̥ c ɪ n ʏ
hylli	h ɪ t l ɪ
hylltir	h ɪ l̥ t ɪ r
hylma	h ɪ l m a
hylmt	h ɪ l m̥ t
hylnum	h ɪ l n ʏ m
hylur	h ɪː l ʏ r
hyperlinkurinn	h ɛ iː p ɛ r l i ŋ k ʏ r ɪ n
hyrfi	h ɪ r v ɪ
hyrfu	h ɪ r v ʏ
hyrnan	h ɪ r t n a n
hysjaði	h ɪː s j a ð ɪ
hyski	h ɪ s c ɪ
hýða	h iː ð a
hýðið	h iː ð ɪ ð
hýðinu	h iː ð ɪ n ʏ
hýenur	h iː j ɛ n ʏ r
hýr	h iː r
hýrnaði	h i r t n a ð ɪ
hýru	h iː r ʏ
hýsa	h iː s a
hýsir	h iː s ɪ r
hýst	h i s t
hýsti	h i s t ɪ
hýstu	h i s t ʏ
hæ	h aiː
hæddi	h ai t ɪ
hæð	h aiː ð
hæða	h aiː ð a
hæðanna	h aiː ð a n a
hæðar	h aiː ð a r
Hæðargarði	h aiː ð a r k a r ð ɪ
Hæðargarður	h aiː ð a r k a r ð ʏ r
hæðarinnar	h aiː ð a r ɪ n a r
hæðin	h aiː ð ɪ n
hæðina	h aiː ð ɪ n a
hæðinni	h aiː ð ɪ n ɪ
hæðir	h aiː ð ɪ r
hæðirnar	h aiː ð ɪ t n a r
hæðni	h ai ð n ɪ
hæðnislega	h ai ð n ɪ s t l ɛ ɣ a
hæðum	h aiː ð ʏ m
hæðunum	h aiː ð ɔ n ʏ m
hæf	h aiː v
hæfa	h aiː v a
hæfari	h aiː v a r ɪ
hæfði	h ai v ð ɪ
hæfðu	h ai v ð ʏ
hæfi	h aiː v ɪ
hæfileg	h aiː v ɪ l ɛ ɣ
hæfilega	h aiː v ɪ l ɛ ɣ a
hæfilegan	h aiː v ɪ l ɛ ɣ a n
hæfilegri	h aiː v ɪ l ɛ ɣ r ɪ
hæfilegt	h aiː v ɪ l ɛ x t
hæfilegum	h aiː v ɪ l ɛ ɣ ʏ m
hæfileika	h aiː v ɪ l eiː k a
hæfileikann	h aiː v ɪ l eiː k a n
hæfileikar	h aiː v ɪ l eiː k a r
hæfileikaríka	h aiː v ɪ l ei k a r iː k a
hæfileikaríkur	h aiː v ɪ l ei k a r iː k ʏ r
hæfileiki	h aiː v ɪ l eiː c ɪ
hæfileikum	h aiː v ɪ l eiː k ʏ m
hæfir	h aiː v ɪ r
hæfist	h aiː v ɪ s t
hæfni	h ai p n ɪ
hæft	h ai f t
hæfu	h aiː v ʏ
hæfum	h aiː v ʏ m
hæfur	h aiː v ʏ r
hæfust	h aiː v ʏ s t
hæfustu	h aiː v ʏ s t ʏ
hæg	h aiː ɣ
hæga	h aiː ɣ a
hægan	h aiː ɣ a n
hægar	h aiː ɣ a r
hægara	h aiː ɣ a r a
hægari	h aiː ɣ a r ɪ
hægð	h ai ɣ ð
hægðarleikur	h ai ɣ ð a r l eiː k ʏ r
hægði	h ai ɣ ð ɪ
hægðir	h ai ɣ ð ɪ r
hægðist	h ai ɣ ð ɪ s t
hægðum	h ai ɣ ð ʏ m
hægfara	h ai x f a r a
hægferð	h ai x f ɛ r ð
hægindastól	h ai j ɪ n t a s t ouː l
hægindastólar	h ai j ɪ n t a s t ouː l a r
hægindastóll	h ai j ɪ n t a s t ou t l̥
hægindastólum	h ai j ɪ n t a s t ouː l ʏ m
hægindi	h ai j ɪ n t ɪ
hægir	h ai j ɪ r
hægja	h ai j a
hæglát	h ai ɣ l au t
hægláta	h ai ɣ l au t a
hæglátur	h ai ɣ l au t ʏ r
hæglega	h ai ɣ l ɛ ɣ a
hægra	h ai ɣ r a
hægri	h ai ɣ r ɪ
hægrimanna	h ai ɣ r ɪ m a n a
hægt	h ai x t
hægu	h aiː ɣ ʏ
hægum	h aiː ɣ ʏ m
hægur	h aiː ɣ ʏ r
hækju	h aiː c ʏ
hækjunum	h aiː c ɔ n ʏ m
hækjur	h aiː c ʏ r
hækjurnar	h aiː c ʏ t n a r
hækka	h ai h k a
hækkað	h ai h k a ð
hækkaði	h ai h k a ð ɪ
hækkaðir	h ai h k a ð ɪ r
hækkaður	h ai h k a ð ʏ r
hækkana	h ai h k a n a
hækkandi	h ai h k a n t ɪ
hækkanir	h ai h k a n ɪ r
hækkar	h ai h k a r
hækki	h ai h c ɪ
hækkuð	h ai h k ʏ ð
hækkuðu	h ai h k ʏ ð ʏ
hækkun	h ai h k ʏ n
hækkunar	h ai h k ʏ n a r
hækkunarinnar	h ai h k ʏ n a r ɪ n a r
hækkunin	h ai h k ʏ n ɪ n
hækkunina	h ai h k ʏ n ɪ n a
hækkunum	h ai h k ʏ n ʏ m
hæl	h aiː l
hæla	h aiː l a
hælana	h aiː l a n a
hælarnir	h aiː l a t n ɪ r
hældi	h ai l t ɪ
hæli	h aiː l ɪ
hælið	h aiː l ɪ ð
hælinn	h aiː l ɪ n
hælinu	h aiː l ɪ n ʏ
hælis	h aiː l ɪ s
hælnum	h ai l n ʏ m
hælum	h aiː l ʏ m
hælunum	h aiː l ɔ n ʏ m
hæna	h aiː n a
hænan	h aiː n a n
hændur	h ai n t ʏ r
hændust	h ai n t ʏ s t
hængur	h ai ŋ k ʏ r
hænsni	h ai n s t n ɪ
hænsnin	h ai n s t n ɪ n
hænu	h aiː n ʏ
hænufet	h aiː n ʏ f ɛː t
hænum	h aiː n ʏ m
hænunni	h aiː n ʏ n ɪ
hænunum	h aiː n ɔ n ʏ m
hænur	h aiː n ʏ r
hænurnar	h aiː n ʏ t n a r
hæpið	h aiː p ɪ ð
hærra	h ai r a
hærri	h ai r ɪ
hærurnar	h aiː r ʏ t n a r
hæst	h ai s t
hæsta	h ai s t a
Hæstarétt	h ai s t a r j ɛ h t
Hæstaréttar	h ai s t a r j ɛ h t a r
hæstaréttardómara	h ai s t a r j ɛ h t a t ouː m a r a
hæstaréttarlögmaður	h ai s t a r j ɛ h t a l œ ɣ m a ð ʏ r
hæstaréttarlögmanns	h ai s t a r j ɛ h t a l œ ɣ m a n s
Hæstarétti	h ai s t a r j ɛ h t ɪ
hæstánægður	h ai s t auː n ai ɣ ð ʏ r
hæsti	h ai s t ɪ
Hæstiréttur	h ai s t ɪ r j ɛ h t ʏ r
hæstu	h ai s t ʏ
hæstur	h ai s t ʏ r
hætt	h ai h t
hætta	h ai h t a
hættan	h ai h t a n
hættar	h ai h t a r
hættara	h ai h t a r a
hætti	h ai h t ɪ
hættið	h ai h t ɪ ð
hættir	h ai h t ɪ r
hættu	h ai h t ʏ
hættulaust	h ai h t ʏ l œy s t
hættuleg	h ai h t ʏ l ɛ ɣ
hættulega	h ai h t ʏ l ɛ ɣ a
hættulegan	h ai h t ʏ l ɛ ɣ a n
hættulegar	h ai h t ʏ l ɛ ɣ a r
hættulegasta	h ai h t ʏ l ɛ ɣ a s t a
hættulegir	h ai h t ʏ l ei j ɪ r
hættulegra	h ai h t ʏ l ɛ ɣ r a
hættulegri	h ai h t ʏ l ɛ ɣ r ɪ
hættulegt	h ai h t ʏ l ɛ x t
hættulegu	h ai h t ʏ l ɛ ɣ ʏ
hættulegum	h ai h t ʏ l ɛ ɣ ʏ m
hættulegur	h ai h t ʏ l ɛ ɣ ʏ r
hættulegustu	h ai h t ʏ l ɛ ɣ ʏ s t ʏ
hættum	h ai h t ʏ m
hættuna	h ai h t ʏ n a
hættunni	h ai h t ʏ n ɪ
hættur	h ai h t ʏ r
hætturnar	h ai h t ʏ t n a r
hættuspil	h ai h t ʏ s p ɪː l
hæversku	h aiː v ɛ r̥ s k ʏ
Hödda	h œ t a
Höddi	h œ t ɪ
höf	h œː v
höfð	h œ v ð
Höfða	h œ v ð a
Höfðaborg	h œ v ð a p ɔ r k
Höfðaborgar	h œ v ð a p ɔ r k a r
Höfðabrekku	h œ v ð a p r ɛ h k ʏ
höfðað	h œ v ð a ð
höfðaði	h œ v ð a ð ɪ
höfðalagið	h œ v ð a l ai j ɪ ð
höfðar	h œ v ð a r
Höfðatúni	h œ v ð a t uː n ɪ
höfðatölu	h œ v ð a t œː l ʏ
höfði	h œ v ð ɪ
höfðingi	h œ v ð i ɲ c ɪ
höfðinginn	h œ v ð i ɲ c ɪ n
höfðingja	h œ v ð i ɲ c a
höfðingjanna	h œ v ð i ɲ c a n a
höfðingjans	h œ v ð i ɲ c a n s
höfðingjanum	h œ v ð i ɲ c a n ʏ m
höfðingjar	h œ v ð i ɲ c a r
höfðingjum	h œ v ð i ɲ c ʏ m
höfðinu	h œ v ð ɪ n ʏ
höfðu	h œ v ð ʏ
höfðuð	h œ v ð ʏ ð
höfðuðu	h œ v ð ʏ ð ʏ
höfðum	h œ v ð ʏ m
höfðust	h œ v ð ʏ s t
höfgi	h œ v c ɪ
höfn	h œ p n̥
höfnin	h œ p n ɪ n
höfnina	h œ p n ɪ n a
höfninni	h œ p n ɪ n ɪ
höfnuðu	h œ p n ʏ ð ʏ
höfnum	h œ p n ʏ m
höfnun	h œ p n ʏ n
höft	h œ f t
höfuð	h œː v ʏ ð
höfuðáherslu	h œː v ʏ ð auː h ɛ r̥ s t l ʏ
höfuðáverka	h œː v ʏ ð auː v ɛ r̥ k a
höfuðborg	h œː v ʏ ð p ɔ r k
höfuðborgar	h œː v ʏ ð p ɔ r k a r
höfuðborgarbúa	h œː v ʏ ð p ɔ r k a r p uː a
höfuðborgarinnar	h œː v ʏ ð p ɔ r k a r ɪ n a r
höfuðborgarsvæðið	h œː v ʏ ð p ɔ r k a r s v aiː ð ɪ ð
höfuðborgarsvæðinu	h œː v ʏ ð p ɔ r k a r s v aiː ð ɪ n ʏ
höfuðborgarsvæðisins	h œː v ʏ ð p ɔ r k a r s v aiː ð ɪ s ɪ n s
höfuðborgin	h œː v ʏ ð p ɔ r c ɪ n
höfuðborgina	h œː v ʏ ð p ɔ r c ɪ n a
höfuðborginni	h œː v ʏ ð p ɔ r c ɪ n ɪ
höfuðhneigingu	h œː v ʏ ð n̥ ei j i ŋ k ʏ
höfuðið	h œː v ʏ ð ɪ ð
höfuðin	h œː v ʏ ð ɪ n
höfuðkúpan	h œː v ʏ ð k uː p a n
höfuðkúpuna	h œː v ʏ ð k uː p ʏ n a
höfuðmáli	h œː v ʏ ð m auː l ɪ
höfuðs	h œː v ʏ ð s
höfuðsins	h œː v ʏ ð s ɪ n s
höfuðsmaður	h œː v ʏ ð s m aː ð ʏ r
höfuðsmaðurinn	h œː v ʏ ð s m aː ð ʏ r ɪ n
höfuðsmann	h œː v ʏ ð s m a n
höfuðsmanninn	h œː v ʏ ð s m a n ɪ n
höfuðsmannsins	h œː v ʏ ð s m a n s ɪ n s
höfuðstað	h œː v ʏ ð s t aː ð
höfuðstaðarins	h œː v ʏ ð s t aː ð a r ɪ n s
höfuðstaðnum	h œː v ʏ ð s t a ð n ʏ m
höfuðstöðva	h œː v ʏ ð s t œ ð v a
höfuðstöðvar	h œː v ʏ ð s t œ ð v a r
höfuðstöðvum	h œː v ʏ ð s t œ ð v ʏ m
höfuðverk	h œː v ʏ ð v ɛ r̥ k
höfuðverkur	h œː v ʏ ð v ɛ r̥ k ʏ r
höfuðverkurinn	h œː v ʏ ð v ɛ r̥ k ʏ r ɪ n
höfuðvígi	h œː v ʏ ð v iː j ɪ
höfum	h œː v ʏ m
höfund	h œː v ʏ n t
höfunda	h œː v ʏ n t a
höfundanna	h œː v ʏ n t a n a
höfundar	h œː v ʏ n t a r
höfundarins	h œː v ʏ n t a r ɪ n s
höfundarnir	h œː v ʏ n t a t n ɪ r
höfundarrétt	h œː v ʏ n t a r j ɛ h t
höfundarrétti	h œː v ʏ n t a r j ɛ h t ɪ
höfundarverk	h œː v ʏ n t a r v ɛ r̥ k
höfundi	h œː v ʏ n t ɪ
höfundinn	h œː v ʏ n t ɪ n
höfundinum	h œː v ʏ n t ɪ n ʏ m
höfundum	h œː v ʏ n t ʏ m
höfundur	h œː v ʏ n t ʏ r
höfundurinn	h œː v ʏ n t ʏ r ɪ n
högg	h œ k
högga	h œ k a
höggdofa	h œ k t ɔ v a
höggi	h œ c ɪ
höggið	h œ c ɪ ð
höggmynd	h œ k m ɪ n t
höggmyndagarðurinn	h œ k m ɪ n t a k a r ð ʏ r ɪ n
höggmyndalist	h œ k m ɪ n t a l ɪ s t
höggmyndir	h œ k m ɪ n t ɪ r
höggnir	h œ k n ɪ r
höggs	h œ k s
höggstað	h œ k s t a ð
höggum	h œ k ʏ m
höggunum	h œ k ɔ n ʏ m
höggva	h œ k v a
höggvið	h œ k v ɪ ð
höggvin	h œ k v ɪ n
höggvinn	h œ k v ɪ n
Högna	h œ k n a
Högnason	h œ k n a s ɔː n
Högni	h œ k n ɪ
höguðu	h œː ɣ ʏ ð ʏ
högum	h œː ɣ ʏ m
hökti	h œ x t ɪ
höku	h œː k ʏ
hökuna	h œː k ʏ n a
hökunni	h œː k ʏ n ɪ
höldnu	h œ l t n ʏ
höldum	h œ l t ʏ m
höll	h œ t l̥
höllin	h œ t l ɪ n
höllina	h œ t l ɪ n a
höllinni	h œ t l ɪ n ɪ
höllu	h œ t l ʏ
hölluðust	h œ t l ʏ ð ʏ s t
höllum	h œ t l ʏ m
hölt	h œ l̥ t
hömlulaus	h œ m l ʏ l œyː s
hömlum	h œ m l ʏ m
hömlur	h œ m l ʏ r
hömrum	h œ m r ʏ m
hömrunum	h œ m r ɔ n ʏ m
hömuðust	h œː m ʏ ð ʏ s t
hönd	h œ n t
höndin	h œ n t ɪ n
höndina	h œ n t ɪ n a
höndinni	h œ n t ɪ n ɪ
höndla	h œ n t l a
höndlarinn	h œ n t l a r ɪ n
höndum	h œ n t ʏ m
höndunum	h œ n t ɔ n ʏ m
hönk	h œy n̥ k
hönnuð	h œ n ʏ ð
hönnuða	h œ n ʏ ð a
hönnuði	h œ n ʏ ð ɪ
hönnuðir	h œ n ʏ ð ɪ r
hönnuðu	h œ n ʏ ð ʏ
hönnuðum	h œ n ʏ ð ʏ m
hönnuður	h œ n ʏ ð ʏ r
hönnuðurinn	h œ n ʏ ð ʏ r ɪ n
hönnun	h œ n ʏ n
hönnunar	h œ n ʏ n a r
hönnunin	h œ n ʏ n ɪ n
hönnunina	h œ n ʏ n ɪ n a
hörð	h œ r ð
hörðu	h œ r ð ʏ
hörðum	h œ r ð ʏ m
Hörður	h œ r ð ʏ r
hörðustu	h œ r ð ʏ s t ʏ
hörfað	h œ r v a ð
hörfaði	h œ r v a ð ɪ
hörfar	h œ r v a r
Hörgárdal	h œ r k au r t aː l
hörgull	h œ r k ʏ t l̥
hörku	h œ r̥ k ʏ
hörkuleg	h œ r̥ k ʏ l ɛ ɣ
hörkulega	h œ r̥ k ʏ l ɛ ɣ a
hörkulegt	h œ r̥ k ʏ ɛ x t
hörkutól	h œ r̥ k ʏ t ouː l
hörmuðu	h œ r m ʏ ð ʏ
hörmuleg	h œ r m ʏ l ɛ ɣ
